family,policy,sources,parents,episodes,mase,mae,total_seconds,tool_count,budget_overruns,switch_gain,wrong_switch_loss,net_gain
bolt,RESIDUAL_H32_low,3,26,156,1.2043380023826626,3.5406930935415715,0.22782063929066973,0.4444444444444445,0,0.034784884516887944,0.08211826092202644,-0.04733337640513849
bolt,RESIDUAL_H_high,3,26,156,1.1531100876484863,3.2919482449607442,0.3108939259083807,0.4444444444444445,0,0.027685191592490735,0.02379065326345309,0.0038945383290376495
bolt,RESIDUAL_H_low,3,26,156,1.1531100876484863,3.2919482449607442,0.3108745496897047,0.4444444444444445,0,0.027685191592490735,0.02379065326345309,0.0038945383290376495
bolt,RESIDUAL_control_high,3,26,156,1.1563507843299543,3.277871415940059,0.28196031940581373,0.4444444444444445,0,0.014191682782249748,0.01353784113468009,0.0006538416475696552
bolt,RESIDUAL_control_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051211976342409,0.0,0,0.0,0.0,0.0
bolt,RESIDUAL_disagreement_high,3,26,156,1.1563271681677303,3.2778119962786136,0.2822203315187326,0.4444444444444445,0,0.014191682782249748,0.013514224972455934,0.0006774578097938112
bolt,RESIDUAL_disagreement_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051372288035182,0.0,0,0.0,0.0,0.0
bolt,RESIDUAL_equal-cost_high,3,26,156,1.162747727250033,3.31140238535302,0.2799566768041028,0.4444444444444445,0,0.018512722253443827,0.02425582352595282,-0.005743101272508995
bolt,RESIDUAL_equal-cost_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051420204232022,0.0,0,0.0,0.0,0.0
bolt,TATO_8_NATIVE_SPACE,3,26,156,1.6852272294817199,5.572088439655989,0.7031735468450347,8.0,0,0.0366792713272687,0.5649018748314646,-0.528222603504196
timesfm,CART_H32_high,3,26,156,1.0693983307074413,2.7680745293867948,0.5965482614397566,0.4444444444444445,0,0.0403310161317178,0.013594008674298176,0.02673700745741962
timesfm,CART_H32_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055455033311764,0.0,0,0.0,0.0,0.0
timesfm,CART_H_high,3,26,156,1.0693983307074413,2.7680745293867948,0.5873282115017263,0.4444444444444445,0,0.0403310161317178,0.013594008674298176,0.02673700745741962
timesfm,CART_H_low,3,26,156,1.0961353381648609,2.878695537127317,0.2305542111063689,0.0,0,0.0,0.0,0.0
timesfm,CART_control_high,3,26,156,1.0961353381648609,2.878695537127317,0.5916104248923545,0.4444444444444445,0,0.0,0.0,0.0
timesfm,CART_control_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055447367216156,0.0,0,0.0,0.0,0.0
timesfm,CART_disagreement_high,3,26,156,1.0961353381648609,2.878695537127317,0.591706978322175,0.4444444444444445,0,0.0,0.0,0.0
timesfm,CART_disagreement_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055408389702348,0.0,0,0.0,0.0,0.0
timesfm,CART_equal-cost_high,3,26,156,1.0961353381648609,2.878695537127317,0.5908793395922568,0.4444444444444445,0,0.0,0.0,0.0
timesfm,CART_equal-cost_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055506479194413,0.0,0,0.0,0.0,0.0
timesfm,DIRECT_H32_high,3,26,156,1.0927816177098404,2.8591597763725276,0.5983480162446573,0.4444444444444445,0,0.020685533696891755,0.017331813241871382,0.003353720455020373
timesfm,DIRECT_H32_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055466614709677,0.0,0,0.0,0.0,0.0
timesfm,DIRECT_H_high,3,26,156,1.072139156325407,2.776433164132779,0.5856210350630082,0.4444444444444445,0,0.04155839023072034,0.017562208391266574,0.023996181839453762
timesfm,DIRECT_H_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055432534336953,0.0,0,0.0,0.0,0.0
timesfm,DIRECT_control_high,3,26,156,1.096563643895584,2.8832769825826436,0.5893799810337573,0.4444444444444445,0,0.010119609468609871,0.010547915199333013,-0.00042830573072314397
timesfm,DIRECT_control_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055420147487182,0.0,0,0.0,0.0,0.0
timesfm,DIRECT_disagreement_high,3,26,156,1.0914656292588196,2.8575368037368825,0.5890823873664199,0.4444444444444445,0,0.015289871239094905,0.01062016233305367,0.004669708906041232
timesfm,DIRECT_disagreement_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055420353901204,0.0,0,0.0,0.0,0.0
timesfm,DIRECT_equal-cost_high,3,26,156,1.0886309349298025,2.8530147299801567,0.5866637649251665,0.4444444444444445,0,0.01792766880870764,0.0104232655736491,0.007504403235058542
timesfm,DIRECT_equal-cost_low,3,26,156,1.0961353381648609,2.878695537127317,0.23055379978977728,0.0,0,0.0,0.0,0.0
timesfm,FIXED_A0_FFILL,3,26,156,1.1813091236065034,3.2201169925744284,0.2002124616648535,0.0,0,0.030138011471568745,0.11531179691321114,-0.08517378544164239
timesfm,FIXED_A3_COV,3,26,156,1.136582592857257,3.1148995821976135,0.2340986194766654,0.0,0,0.04000326116427793,0.0804505158566738,-0.040447254692395865
timesfm,FIXED_A4_RIDGE_CONTEXT,3,26,156,1.090969717247088,2.8394847455345116,0.20369474062713355,0.0,0,0.056819719082195345,0.05165409816442254,0.005165620917772806
timesfm,FIXED_REFERENCE,3,26,156,1.0961353381648609,2.878695537127317,0.23017719208595774,0.0,0,0.0,0.0,0.0
timesfm,FIXED_TSICL,3,26,156,1.0961353381648609,2.878695537127317,0.23001961469490753,0.0,0,0.0,0.0,0.0
timesfm,FORCE_STOP,3,26,156,1.0961353381648609,2.878695537127317,0.23053589184502943,0.0,0,0.0,0.0,0.0
timesfm,HISTORICAL_ARGMAX_H32_high,3,26,156,1.1427173360634615,3.119461845878156,0.5960738449521328,0.4444444444444445,0,0.01730212461237115,0.06388412251097171,-0.04658199789860057
timesfm,HISTORICAL_ARGMAX_H32_low,3,26,156,1.0961353381648609,2.878695537127317,0.23056716862829793,0.0,0,0.0,0.0,0.0
timesfm,HISTORICAL_ARGMAX_H_high,3,26,156,1.0770448101108763,2.7970231324588934,0.5860076978536229,0.4444444444444445,0,0.042043557186915805,0.022953029132931204,0.01909052805398459
timesfm,HISTORICAL_ARGMAX_H_low,3,26,156,1.0961353381648609,2.878695537127317,0.2305650174661491,0.0,0,0.0,0.0,0.0
