key,family
REC_T1_MASE,appendix_reconstruction
REC_T1_MSE,appendix_reconstruction
REC_TOI_GAIN,appendix_reconstruction
REC_TOI_MAE,appendix_reconstruction
REC_TOI_MASE,appendix_reconstruction
REC_TOI_MSE,appendix_reconstruction
RHO_BOLT,appendix_reconstruction
RHO_CH2,appendix_reconstruction
RHO_TF,appendix_reconstruction
RS100_CALLS,appendix_replay_size
RS100_HIR,appendix_replay_size
RS100_HL,appendix_replay_size
RS100_IR,appendix_replay_size
RS100_MASE,appendix_replay_size
RS25_CALLS,appendix_replay_size
RS25_HIR,appendix_replay_size
RS25_HL,appendix_replay_size
RS25_IR,appendix_replay_size
RS25_MASE,appendix_replay_size
RS50_CALLS,appendix_replay_size
RS50_HIR,appendix_replay_size
RS50_HL,appendix_replay_size
RS50_IR,appendix_replay_size
RS50_MASE,appendix_replay_size
HARDWARE,appendix_reproducibility
NUMPYVERSION,appendix_reproducibility
PANDASVERSION,appendix_reproducibility
PRECISION,appendix_reproducibility
PROTOCOL_COMMIT,appendix_reproducibility
PYVERSION,appendix_reproducibility
REV_BOLT,appendix_reproducibility
REV_CH2,appendix_reproducibility
REV_TF,appendix_reproducibility
SKLEARNVERSION,appendix_reproducibility
TORCHVERSION,appendix_reproducibility
SEV10-BF-MAE,appendix_severity_table
SEV10-BF-MASE,appendix_severity_table
SEV10-BF-MSE,appendix_severity_table
SEV10-BF-RANK,appendix_severity_table
SEV10-BF-RMSE,appendix_severity_table
SEV10-KEEP-MAE,appendix_severity_table
SEV10-KEEP-MASE,appendix_severity_table
SEV10-KEEP-MSE,appendix_severity_table
SEV10-KEEP-RANK,appendix_severity_table
SEV10-KEEP-RMSE,appendix_severity_table
SEV10-ORACLE-MAE,appendix_severity_table
SEV10-ORACLE-MASE,appendix_severity_table
SEV10-ORACLE-MSE,appendix_severity_table
SEV10-ORACLE-RMSE,appendix_severity_table
SEV10-OURS-MAE,appendix_severity_table
SEV10-OURS-MASE,appendix_severity_table
SEV10-OURS-MSE,appendix_severity_table
SEV10-OURS-RANK,appendix_severity_table
SEV10-OURS-RMSE,appendix_severity_table
SEV10-R2-MAE,appendix_severity_table
SEV10-R2-MASE,appendix_severity_table
